"Paper","Journal.(1)/non-journal(0)","Study.design","Predator.species","Protected.assets","Category.of.intervention","Type.of.intervention","Intervention.details","Country","Damage.metric","Relative.risk.RR"
"Anderson et al. 2002",1,"before-after","brown bear","cattle","lethal control","shooting","shooting","USA","probability of depredation",0
"Angst 2001",0,"before-after","Eurasian lynx","fallow deer","husbandry","electric fence","electric fence","Switzerland","No. killed/enclosure",0
"Angst et al. 2002",0,"control-impact","Eurasian lynx","sheep","husbandry","herding","herding","Switzerland","No. killed",0.354838709677419
"Anonymous 1997",0,"before-after","lion","goats","invasive management","translocation","translocation","Zimbabwe","No. predators resuming damage infliction",0.25
"Appleby et al. 2017",1,"crossover","dingo","neighborhood safety","aversion","physical deterrent","motorized water pistol","Australia","No. failing occasions",0.231900452488688
"Armistead et al. 1994",0,"before-after","American black bear","sheep","invasive management","translocation","translocation","USA","No. predators resuming damage infliction ",0
"Athreya 2012",0,"RCT","leopard","livestock in general","husbandry","enclosure","enclosure (night)","India","No. killed",0.167691957165641
"Athreya 2012",0,"RCT","leopard","livestock in general","husbandry","guarding animals","guarding dogs","India","No. killed",1.48837209302326
"Athreya et al. 2010",1,"before-after","leopard","livestock in general","invasive management","translocation","translocation","India","No. attacks/year",1.56603773584906
"Ausband et al. 2013",1,"before-after","gray wolf","sheep","aversion","chemical deterrent","wolf scats and urine","USA","No. trespassing locations",0.676776610364853
"Aziz 1998",0,"before-after","tiger","cattle","non-invasive management","capacity building","compensation from compensation fund","India","No. predators killed",0
"Bagchi et al. 2020",1,"before-after","snow leopard","livestock in general","non-invasive management","livestock exclusion + capacity building + herding","livestock-free set-asides + insurance + herding","India","% livestock in diet",0.76155462184874
"Baker et al. 2007",1,"BACI","red fox","bait (biscuit)","aversion","chemical deterrent","ziram","UK","No. visits",0.519275271757027
"Barrett et al. 2014",1,"before-after","American black bear","neighborhood safety","non-invasive management","food/garbage isolation","bear-proof bins","USA","% damage records",0.1401737830033
"Baruch-Mordo et al. 2011",1,"BACI","American black bear","neighborhood safety","non-invasive management","capacity building","on-site education","USA","probability of rule violation",0.421190663519538
"Baruch-Mordo et al. 2011",1,"BACI","American black bear","neighborhood safety","non-invasive management","capacity building","Bear Aware campaign","USA","probability of trash availability",1.1568887006248
"Baruch-Mordo et al. 2011",1,"BACI","American black bear","neighborhood safety","non-invasive management","capacity building","patrolling + notices","USA","probability of rule violation",1.01655508216677
"Bauder et al. 2020",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.640449438202247
"Bauer et al. 2010",1,"control-impact","lion","cattle","husbandry","enclosure","enclosure (night)","Benin","No. killed",0.333333333333333
"Bauer et al. 2010",1,"control-impact","lion","sheep/goats","husbandry","enclosure","enclosure (night)","Benin","No. killed",0.0714285714285714
"Bauer et al. 2010",1,"control-impact","lion","cattle","husbandry","enclosure","enclosure (night)","Cameroon","No. killed",0
"Bauer et al. 2010",1,"control-impact","lion","sheep/goats","husbandry","enclosure","enclosure (night)","Cameroon","No. killed",0
"Bauer et al. 2010",1,"control-impact","spotted hyena","sheep/goats","husbandry","enclosure","enclosure (night)","Cameroon","No. killed",0
"Bauer et al. 2010",1,"control-impact","spotted hyena","cattle","husbandry","enclosure","enclosure (night)","Benin","No. killed",0
"Bauer et al. 2010",1,"control-impact","spotted hyena","sheep/goats","husbandry","enclosure","enclosure (night)","Benin","No. killed",0.56
"Bauer et al. 2017",1,"before-after","lion","cattle and sheep/goats","non-invasive management","capacity building","compensation from tourist fees","Kenya","No. predators killed",0.111111111111111
"Beckmann et al. 2004",1,"RCT","American black bear","neighborhood safety","aversion","chemical deterrent + physical deterrent + acoustic deterrent","pepper spray + rubber bullet + cracker shell","USA","No. returning",0.952380952380953
"Beckmann et al. 2004",1,"RCT","American black bear","neighborhood safety","aversion","chemical deterrent + physical deterrent + acoustic deterrent + dogs","pepper spray + rubber bullet + cracker shell + dogs","USA","No. returning",0.8
"Beeman and Pelton 1976",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. translocation events with homing",0.462006079027356
"Binge 2017",0,"before-after","predators in general","sheep/goats","husbandry","guarding animals","guarding dogs","South Africa","No. respondents with depredation",0.527083333333333
"Bjorge and Gunson 1985",1,"before-after","gray wolf","cattle","lethal control","poisoning","strychnine baiting","Canada","No. killed/year",0.658492514197212
"Blanchard and Knight 1995",1,"before-after","brown bear","neighborhood safety","invasive management","translocation","translocation","USA","No. translocation events with homing",0.956521739130435
"Blejwas et al. 2002",1,"before-after","coyote","sheep (lamb)","lethal control","poisoning","toxic collar","USA","No. killed",0.280701754385965
"Blejwas et al. 2002",1,"before-after","coyote","sheep (ewe)","lethal control","poisoning","toxic collar","USA","No. killed",0.269965277777778
"Bourne and Dorrance 1982",1,"BACI","coyote","sheep","aversion","chemical deterrent","LiCl","Canada","No. killed",0.47355623100304
"Bradley et al. 2005",1,"control-impact","gray wolf","livestock in general","invasive management","translocation","translocation","USA","No. wolves preying on livestock",0.615740740740741
"Bradley et al. 2015",1,"control-impact","gray wolf","cattle, sheep/goats, llama and horses","lethal control","trapping and shooting","full pack removal","USA","probability of depredation",0.21
"Bradley et al. 2015",1,"control-impact","gray wolf","cattle, sheep/goats, llama and horses","lethal control","trapping and shooting","partial pack removal","USA","probability of depredation",0.71
"Breck et al. 2002",0,"control-impact","gray wolf","cattle (calves)","invasive management + acoustic deterrent","GPS collar-activated acoustic and visual deterrents","GPS collar-activated sounds and strobe light","USA","No. killed",0
"Breck et al. 2006",1,"control-impact","American black bear","neighborhood safety","aversion","physical deterrent","shocking device","USA","No. damage records",0
"Breck et al. 2011",1,"control-impact","puma","cattle","non-invasive management","breeding control","breeding control","USA","No. killed",0
"Breck et al. 2011",1,"control-impact","gray wolf","cattle","non-invasive management","breeding control","breeding control","USA","No. killed",0
"Breck et al. 2011",1,"control-impact","American black bear","cattle","non-invasive management","breeding control","breeding control","USA","No. killed",0
"Breck et al. 2011",1,"control-impact","coyote","cattle","non-invasive management","breeding control","breeding control","USA","No. killed",0
"Breck et al. 2017",1,"before-after","coyote","neighborhood safety","lethal control","shooting","shooting","USA","No. removals with recurrence",0.333333333333333
"Breck et al. 2017",1,"control-impact","coyote","neighborhood safety","aversion","acoustic deterrent + visual deterrent + physical deterrent","yelling + approaching + throwing objects","USA","No. camera-trap pictures/site",1.40833333333333
"Bromley and Gese 2001",1,"RCT","coyote","sheep","invasive management","sterilization","surgery","USA","No. killed/week",0.145299145299145
"Burns 1980",1,"control-impact","coyote","sheep","aversion","chemical deterrent","LiCl","USA","proportion of killed/offered",0.583333333333333
"Burns 1983",1,"BACI","coyote","sheep","aversion","chemical deterrent","LiCl","USA","No. predators resuming damage infliction",1
"Burns and Connolly 1980",0,"control-impact","coyote","jackrabbits","aversion","chemical deterrent","LiCl","USA","No. killed and consumed",1.16666666666667
"Burns and Connolly 1980",0,"control-impact","coyote","chickens","aversion","chemical deterrent","LiCl","USA","No. killed and consumed",1.11111111111111
"Burns and Mason 1996",0,"before-after","coyote","sheep","aversion","chemical deterrent","collar with capsicum oleo resin","USA","No. predators attacking",1
"Burns et al. 1984",0,"control-impact","coyote","sheep","lethal control","poisoning ","toxic collar","USA","No. attacks with kills",0.400824572253144
"Burns et al. 1988",0,"before-after","coyote","sheep","lethal control","poisoning ","toxic collar","USA","No. predators attacking",0.857142857142857
"Burns et al. 1996",1,"before-after","coyote","sheep (lamb)","lethal control","poisoning","toxic collar","USA","No. killed",0.736842105263158
"Campbell et al. 2019",1,"control-impact","dingo","cattle","lethal control","poisoning","baiting (poison)","Australia","fetal/calf loss",1.14942528735632
"Cavalcanti et al. 2012",0,"before-after","jaguar","cattle","husbandry","electric fence","electric fence","Brazil","No. killed",1.42857142857143
"Christiansen et al. 2001",1,"before-after","domestic dog","sheep","invasive management","shock collar","shock collar","Norway","% attacking predators",0.270783847980998
"Ciucci and Boitani 1998",1,"control-impact","gray wolf","sheep","husbandry","herding","herding","Italy","% attacks",0.0317460317460317
"Ciucci and Boitani 1998",1,"control-impact","gray wolf","sheep","husbandry","guarding animals","guarding dogs","Italy","% attacks",0.238095238095238
"Clark et al. 2002",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. failures",0.347712418300654
"Clark et al. 2005",1,"control-impact","American black bear","beehive","husbandry","electric fence","electric fence","USA","No. damage records",1
"Clark et al. 2005",1,"before-after","American black bear","beehive","invasive management","translocation","translocation","USA","No. returning",0.333333333333333
"Comly-Gericke and Vaughan 1997",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. predators resuming damage infliction ",0.00471698113207547
"Connolly and Burns 1990",0,"before-after","coyote","sheep (captive)","lethal control","poisoning","toxic collar","USA","No. killed",0.829268292682927
"Connolly and Burns 1990",0,"control-impact","coyote","sheep (field)","lethal control","poisoning","toxic collar","USA","No. attacks",1.01492537313433
"Conover et al. 1977",1,"control-impact","coyote","chickens","aversion","chemical deterrent","LiCl","USA","No. foods consumed fully and partly after treatment",0.618846694796062
"Coppinger et al. 1988",0,"before-after","predators in general","livestock in general","husbandry","guarding animals","guarding dogs","USA","No. attacks",0.77
"Cornell and Cornely 1979",1,"before-after","coyote","neighborhood safety","aversion","chemical deterrent","LiCl","USA","No. begging cases ",0
"Dar et al. 2009",1,"control-impact","leopard","cattle, sheep/goats, donkeys and horses","husbandry","herding","herding","Pakistan","% attacks",4.37912087912088
"Dar et al. 2009",1,"control-impact","leopard","cattle, sheep/goats, donkeys and horses","husbandry","guarding animals","guarding dogs","Pakistan","% attacks",1.2967032967033
"Darrow and Shivik 2009",1,"before-after","coyote","captive","aversion","acoustic deterrent","noise","USA","No. pairs habituating",0.8
"Darrow and Shivik 2009",1,"before-after","coyote","captive","aversion","visual deterrent","strobe light","USA","No. pairs habituating",0.2
"Darrow and Shivik 2009",1,"before-after","coyote","captive","aversion","acoustic deterrent + visual deterrent","noise + strobe light","USA","No. pairs habituating",0
"Davidson-Nelson and Gehring 2010",1,"RCT","gray wolf","cattle, sheep and horses","aversion","visual deterrent","fladry","USA","No. visits inside/outside livestock areas",0.082832660297449
"Davies and Rockwell 1986",1,"before-after","polar bear","neighborhood safety","husbandry","electric fence","electric fence","Canada","No. predators trespassing",0
"deCalesta and Cropsey 1978",1,"control-impact","coyote","sheep","husbandry","enclosure","enclosure","USA","No. killed",0
"di Vittorio et al. 2016",0,"before-after","brown bear","livestock in general, beehives and crops","husbandry","electric fence","electric fence","Italy","No. damage records",0.167
"Dondina et al. 2015",1,"control-impact","gray wolf","cattle","husbandry","guarding animals + enclosure","guarding dogs + enclosure (night)","Italy","% depredation events",0.623376623376623
"Dorrance and Bourne 1980",1,"before-after","coyote","sheep","husbandry","electric fence","electric fence","Canada","No. killed/farm",0.161576354679803
"Dorrance and Roy 1978",0,"RCT","American black bear","beehive","aversion","chemical deterrent","LiCl","Canada","No. beehives damaged, 1975",0.677700348432056
"Dorrance and Roy 1978",0,"RCT","American black bear","beehive","aversion","chemical deterrent","LiCl","Canada","No. beehives damaged, 1976",0.530612244897959
"Dorrance and Roy 1978",0,"RCT","American black bear","beehive","aversion","chemical deterrent","Cupric sulphate","Canada","No. beehives damaged, 1976",0.446258503401361
"Edgar et al. 2007",1,"crossover","dingo","bait (tuna)","aversion","acoustic deterrent","untrasound device","Australia","No. occasions with bait consumption",0.95
"Ellins 2005",0,"before-after","coyote","sheep","aversion","chemical deterrent","LiCl","USA","No. killed/week",0.171978021978022
"Ellins and Catalano 1980",1,"before-after","coyote","sheep","aversion","chemical deterrent","LiCl","USA","No. killed",0.253607503607504
"Ellins and Catalano 1980",1,"before-after","coyote","turkey","aversion","chemical deterrent","LiCl","USA","No. killed",0.45
"Espuno et al. 2004",1,"control-impact","gray wolf","sheep/goats","husbandry","guarding animals","guarding dogs","France","% killed",0.246
"Espuno et al. 2004",1,"control-impact","gray wolf","sheep/goats","husbandry","guarding animals + enclosure","guarding dogs + enclosure (night)","France","% killed",0.1
"Fernandez-Gil et al. 2016",1,"control-impact","gray wolf","livestock in general","lethal control","shooting","shooting","Spain","No. killed in current year",2.67532046156312
"Fernandez-Gil et al. 2016",1,"control-impact","gray wolf","livestock in general","lethal control","shooting","shooting","Spain","No. killed in previous year",2.66602996239126
"Fernando 2016",0,"control-impact","leopard","cattle","aversion","visual deterrent","fire","Sri Lanka","% killed",1.06382978723404
"Fernando 2016",0,"control-impact","leopard","cattle","aversion","visual deterrent","flash light","Sri Lanka","% killed",0.865384615384615
"Fernando 2016",0,"control-impact","leopard","cattle","aversion","visual deterrent","scarecrow","Sri Lanka","% killed",1.1063829787234
"Fernando 2016",0,"control-impact","leopard","cattle","aversion","acoustic deterrent","aluminum sheets","Sri Lanka","% killed",0.372549019607843
"Fernando 2016",0,"control-impact","leopard","cattle","aversion","spiritual deterrent","chanting mantras","Sri Lanka","% killed",1.27659574468085
"Fernando 2016",0,"control-impact","leopard","cattle","husbandry","enclosure","enclosure (night)","Sri Lanka","No. killed/year",0.107142857142857
"Fernando 2016",0,"control-impact","leopard","cattle","husbandry","enclosure","enclosure (night)","Sri Lanka","No. predators killed",0
"Fies et al. 1987",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. predators returning home",0.121212121212121
"Fredrikkson 2005",1,"control-impact","sun bear","tree plantations","aversion","physical deterrent","metal sheeting","Indonesia","No. damage records",0
"Fritts et al. 1984",1,"before-after","gray wolf","livestock in general","invasive management","translocation","translocation","USA","No. translocation events with homing",0.3
"Garrote et al. 2013",1,"control-impact","Iberian lynx","poultry","husbandry","enclosure","wire fenced coop ","Spain","No. enclosures attacked ",0.0909090909090909
"Garrote et al. 2015",1,"control-impact","Iberian lynx","sheep","husbandry","electric fence","electric fence","Spain","No. killed",0
"Gates et al. 1978",1,"control-impact","coyote","sheep","husbandry","electric fence","electric fence","USA","No. killed/day",0
"Gehring et al. 2006",0,"BACI","gray wolf","bait (deer)","invasive management","shock collar","shock collar","USA","visitation rate",0.15
"Gehring et al. 2006",0,"RCT","gray wolf","bait (deer)","aversion","visual deterrent","fladry","USA","visitation rate",0
"Gehring et al. 2010",1,"BACI","gray wolf","cattle","husbandry","guarding animals","guarding dogs","USA","No.visits/day inside/outside livestock areas",0
"Gehring et al. 2010",1,"BACI","coyote","cattle","husbandry","guarding animals","guarding dogs","USA","No.visits/day inside/outside livestock areas",0.137566137566138
"Gillin et al. 1994",1,"before-after","brown bear","neighborhood safety","aversion","acoustic deterrent + physical deterrent","bird sounds + shortgun and gun rubber bullets","USA","No. returning",0.5
"Gonzalez et al. 2012",1,"BACI","Andean fox ","goats","husbandry","guarding animals","guarding dogs","Argentina","No. ranchers killing predators",0.125
"Gonzalez et al. 2012",1,"BACI","puma","goats","husbandry","guarding animals","guarding dogs","Argentina","No. ranchers killing predators",0.125
"Goodrich and Miquelle 2005",1,"before-after","tiger","dogs","invasive management","translocation","translocation","Russia","No. predators resuming damage infliction",0.25
"Goodrich et al. 2011",1,"before-after","tiger","livestock in general","aversion","acoustic deterrent + physical deterrent","rocket + gunshot + vehicle chasing","Russia","No. predators resuming damage infliction",4.22222222222222
"Gore et al. 2008",1,"BACI","American black bear","neighborhood safety","non-invasive management","food/garbage isolation","food/garbage removal","USA","% negative responses",0.574108905963159
"Gore et al. 2008",1,"BACI","American black bear","neighborhood safety","non-invasive management","change of habits","not feeding pets outdoors","USA","% negative responses",0.588235294117647
"Gore et al. 2008",1,"BACI","American black bear","neighborhood safety","non-invasive management","change of habits","storing barbecue stuff indoors","USA","% negative responses",0.988826815642458
"Gore et al. 2008",1,"BACI","American black bear","neighborhood safety","non-invasive management","change of habits","using birdfeeders in cold time","USA","% negative responses",1.19534555712271
"Gore et al. 2008",1,"BACI","American black bear","neighborhood safety","non-invasive management","vegetation care","harvesting fruits from trees","USA","% negative responses",0.988524590163935
"Green 1989",0,"before-after","predators in general","sheep","husbandry","guarding animals","guarding dogs","USA","No. killed",0.182874268588554
"Green and Woodruff 1983",1,"before-after","American black bear, coyote, puma and bobcat","sheep","husbandry","guarding animals","guarding dogs","USA","No. killed",0.180661182645116
"Greentree et al. 2000",1,"BACI","red fox","sheep (lamb)","lethal control","poisoning","baiting (poison)","Australia","% killed",0.485106382978723
"Griffiths et al. 1978",0,"before-after","coyote","sheep (lamb)","aversion","chemical deterrent","LiCl","USA","% killed",2.06154457018066
"Griffiths et al. 1978",0,"before-after","coyote","sheep","aversion","chemical deterrent","LiCl","Canada","No. killed",0.337443946188341
"Guerisoli et al. 2017",1,"control-impact","puma","sheep","husbandry","enclosure","enclosure (night)","Argentina","% killed",0.366271403015589
"Gurung et al. 2011",0,"before-after","snow leopard","yak (juveniles)","non-invasive management","capacity building","insurance","Nepal","No. predators killed/year",0
"Gustavson et al. 1974",1,"before-after","coyote","lambs","aversion","chemical deterrent","LiCl","USA","No. attacks ",0.4
"Gustavson et al. 1974",1,"before-after","coyote","rabbits","aversion","chemical deterrent","LiCl","USA","No. attacks ",0.5
"Gustavson et al. 1982",1,"before-after","coyote","sheep","aversion","chemical deterrent","LiCl","Canada","% killed/year",0.126310272536688
"Hamr et al. 2015",1,"before-after","American black bear","livestock in general and neighborhood safety","lethal control","shooting","shooting","Canada","No. culprit captures",0.318271119842829
"Hansen and Smith 1999",1,"control-impact","brown bear","sheep","husbandry","guarding animals","guarding dogs","Norway","No. killed",1.41666666666667
"Hansen et al. 1997",1,"before-after","domestic dog","sheep","aversion","chemical deterrent","LiCl","Norway","No. attacks/min",2.18333333333333
"Hansen et al. 2002",1,"crossover","brown bear, Eurasian lynx and wolverine","sheep","husbandry","guarding animals","guarding dogs","Norway","% killed",0.662559502877069
"Hawley et al. 2009",1,"BACI","gray wolf","bait (deer)","invasive management","shock collar","shock collar","USA","mean No. visits to detection and shock zones",0.325422974914069
"Hazzah et al. 2014",1,"before-after","lion","cattle","non-invasive management","capacity building","compensation from compensation fund","Kenya","No. predators killed/year",0.565284178187404
"Hazzah et al. 2014",1,"before-after","lion","cattle","non-invasive management","capacity building","Lion Guardians","Kenya","No. predators killed/year",0
"Heard and Stephenson 1987",1,"before-after","black-backed jackal","sheep/goats","husbandry","electric fence","electric fence","South Africa","No. holes dug/week",0.0680041688379364
"Herfindal et al. 2005",1,"before-after","Eurasian lynx","sheep (lamb)","lethal control","shooting","recreational hunting","Norway","% killed",1.02165185846749
"Herrero and Higgins 1998",1,"before-after","brown bear","neighborhood safety","aversion","chemical deterrent","pepper spray","USA/Canada","No. returning",0.2375
"Herrero and Higgins 1998",1,"before-after","American black bear","neighborhood safety","aversion","chemical deterrent","pepper spray","USA/Canada","No. returning",0.846153846153846
"Hipolito et al. 2020",1,"control-impact","brown bear","cattle and sheep/goats","husbandry","enclosure","enclosure","Croatia","No. killed/attack",1.48888888888889
"Hipolito et al. 2020",1,"control-impact","brown bear","rabbits","husbandry","enclosure","enclosure","Croatia","No. killed/attack",1.54385964912281
"Hipolito et al. 2020",1,"control-impact","brown bear","beehive","husbandry","enclosure","enclosure","Croatia","No. damaged/attack",1.97883597883598
"Honda et al. 2009",1,"control-impact","Asiatic black bear","apple orchard","husbandry","electric fence","electric fence","Japan","No. records inside/outside",0
"Honda et al. 2009",1,"control-impact","red fox","non-cultivated fields","husbandry","electric fence","electric fence","Japan","No. records inside/outside",0
"Hoogesteijn et al. 2016",0,"before-after","puma and jaguar","cattle","husbandry","electric fence","electric fence","Brazil","% losses",0.112910284463895
"Hoogesteijn et al. 2016",0,"control-impact","puma and jaguar","cattle","husbandry","electric fence","electric fence","Brazil","No. killed/100 km2",0.0739562624254473
"Hoover and Conover 1998",1,"before-after","coyote","captive (food)","aversion","chemical deterrent","irritating chemicals","USA","% food consumed",0.980851063829787
"Hoover and Conover 1998",1,"before-after","coyote","captive (eggs)","aversion","chemical deterrent","irritating chemicals","USA","% food consumed",0.464859437751004
"Hoover and Conover 2000",1,"before-after","coyote","captive (eggs)","aversion","chemical deterrent","pulegone (injected)","USA","% eggs opened and/or consumed",0.7516
"Hoover and Conover 2000",1,"control-impact","coyote","captive (eggs)","aversion","chemical deterrent","pulegone (dipped)","USA","% predators which chose treatments",0.129851095889095
"Hoover and Conover 2000",1,"control-impact","coyote","captive (eggs)","aversion","chemical deterrent","pulegone (injected)","USA","% predators which chose treatments",0.387670726246355
"Hopkins and Kalinowski 2013",1,"before-after","American black bear","neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.551724137931034
"Horgan 2015",0,"before-after","predators in general","livestock in general","husbandry","guarding animals","guarding dogs","Botswana","No. killed/farm and year",0.214285714285714
"Horn 1983",1,"before-after","coyote","bait (rabbits)","aversion","chemical deterrent","LiCl","USA","No. killed",0.2
"Horn 1983",1,"before-after","coyote","bait (rabbits)","invasive management","intraperitoneal injection","injection (LiCl)","USA","No. killed",0.5
"Houben et al. 2004",0,"control-impact","coyote","sheep (lamb)","lethal control","shooting, trapping, poisoning","shooting, trapping, poisoning","USA","No. killed/farm/year",0.373792669498191
"Huygens and Hayashi 1999",1,"control-impact","Asiatic black bear","crops and beehives","husbandry","electric fence","electric fence","Japan","No. damage records",0
"Iliopoulos et al. 2009",1,"control-impact","gray wolf","sheep/goats","husbandry","herding","herding","Greece","No. killed/attack",0.435435435435435
"Iliopoulos et al. 2019",1,"before-after","gray wolf","bait (sheep/goat carcass)","aversion","visual deterrent","fladry","Greece","No. feeding events/day",0
"Iliopoulos et al. 2019",1,"before-after","brown bear","bait (sheep/goat carcass)","aversion","visual deterrent","fladry","Greece","No. feeding events/day",0.288927536231884
"Jackson and Wangchuk 2004",1,"before-after","snow leopard","sheep/goat","husbandry","enclosure","enclosure (stone, wire mesh)","India","No. attacks",0
"Jamwal et al. 2019",1,"before-after","snow leopard","livestock in general","husbandry + non-invasive management","mixed","enclosure (night) + Homestay Programme","India","No. killed/year",0.124704491725768
"Jamwal et al. 2019",1,"before-after","snow leopard","livestock in general","husbandry + non-invasive management","mixed","enclosure (night) + Homestay Programme","India","No. depredation events (kills)",0.0824025289778714
"Jamwal et al. 2019",1,"before-after","snow leopard","livestock in general","husbandry + non-invasive management","mixed","enclosure (night) + Homestay Programme","India","No. mass kills",0.13
"Jankovsky et al. 1974",0,"control-impact","coyote","sheep","aversion","chemical deterrent","napthalene and others","USA","No. killed",0.530701754385965
"Jelinski et al. 1983",1,"before-after","coyote","sheep (ewe)","aversion","chemical deterrent","LiCl","Canada","No. killed",1.01543738114643
"Jelinski et al. 1983",1,"before-after","coyote","sheep (lamb)","aversion","chemical deterrent","LiCl","Canada","No. killed",0.318168747682781
"Johnson et al. 2018",1,"BACI","American black bear","neighborhood safety","non-invasive management","food/garbage isolation","bear-proof bins","USA","No. damage records/residence",0.630766334023724
"Jope 1985",1,"control-impact","brown bear","neighborhood safety","aversion","acoustic deterrent","neck bell","USA","probability of moving forward and charging",0.388888888888889
"Kavčič et al. 2013",1,"before-after","brown bear","sheep","non-invasive management","supplemental feeding","supplemental feeding by carrion","Slovenia","No. killed",0.860845588235294
"Khan 2009",1,"control-impact","tiger","neighborhood safety","husbandry","guarding animals","guarding dogs","Bangladesh","No. tiger-specific barking signals",0.10498687664042
